experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T18:46:33.453Z,UpdatedHeaterDC,delta_dc=0.12600000000000547,"{""current_dc"": 50.9, ""delta_dc"": 0.12600000000000547, ""target_temperature"": 30.0, ""latest_temperature"": 30.04}",2025-09-19 20:46:33.453,19.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T18:49:53.451Z,UpdatedHeaterDC,delta_dc=1.0480000000000032,"{""current_dc"": 51.95, ""delta_dc"": 1.0480000000000032, ""target_temperature"": 30.0, ""latest_temperature"": 29.88}",2025-09-19 20:49:53.451,19.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T18:53:13.452Z,UpdatedHeaterDC,delta_dc=-1.0560000000000065,"{""current_dc"": 50.89, ""delta_dc"": -1.0560000000000065, ""target_temperature"": 30.0, ""latest_temperature"": 30.07}",2025-09-19 20:53:13.452,19.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T18:56:33.449Z,UpdatedHeaterDC,delta_dc=0.39400000000001256,"{""current_dc"": 51.28, ""delta_dc"": 0.39400000000001256, ""target_temperature"": 30.0, ""latest_temperature"": 29.99}",2025-09-19 20:56:33.449,19.6225
Long Yeast Grow,pioreactor02,2025-09-19T18:59:53.451Z,UpdatedHeaterDC,delta_dc=-0.3340000000000011,"{""current_dc"": 50.95, ""delta_dc"": -0.3340000000000011, ""target_temperature"": 30.0, ""latest_temperature"": 30.04}",2025-09-19 20:59:53.451,19.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T19:03:13.452Z,UpdatedHeaterDC,delta_dc=-0.32000000000000595,"{""current_dc"": 50.63, ""delta_dc"": -0.32000000000000595, ""target_temperature"": 30.0, ""latest_temperature"": 30.07}",2025-09-19 21:03:13.452,19.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T19:06:33.449Z,UpdatedHeaterDC,delta_dc=1.6179999999999992,"{""current_dc"": 52.25, ""delta_dc"": 1.6179999999999992, ""target_temperature"": 30.0, ""latest_temperature"": 29.82}",2025-09-19 21:06:33.449,19.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T19:09:53.450Z,UpdatedHeaterDC,delta_dc=-1.4039999999999864,"{""current_dc"": 50.85, ""delta_dc"": -1.4039999999999864, ""target_temperature"": 30.0, ""latest_temperature"": 30.08}",2025-09-19 21:09:53.450,19.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T19:13:13.451Z,UpdatedHeaterDC,delta_dc=0.511999999999989,"{""current_dc"": 51.36, ""delta_dc"": 0.511999999999989, ""target_temperature"": 30.0, ""latest_temperature"": 29.98}",2025-09-19 21:13:13.451,19.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T19:16:33.491Z,UpdatedHeaterDC,delta_dc=-0.3799999999999919,"{""current_dc"": 50.98, ""delta_dc"": -0.3799999999999919, ""target_temperature"": 30.0, ""latest_temperature"": 30.04}",2025-09-19 21:16:33.491,19.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T19:19:53.452Z,UpdatedHeaterDC,delta_dc=-0.03200000000001211,"{""current_dc"": 50.95, ""delta_dc"": -0.03200000000001211, ""target_temperature"": 30.0, ""latest_temperature"": 30.03}",2025-09-19 21:19:53.452,20.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T19:23:13.451Z,UpdatedHeaterDC,delta_dc=-0.726000000000002,"{""current_dc"": 50.22, ""delta_dc"": -0.726000000000002, ""target_temperature"": 30.0, ""latest_temperature"": 30.12}",2025-09-19 21:23:13.451,20.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T19:26:33.450Z,UpdatedHeaterDC,delta_dc=1.5600000000000085,"{""current_dc"": 51.78, ""delta_dc"": 1.5600000000000085, ""target_temperature"": 30.0, ""latest_temperature"": 29.86}",2025-09-19 21:26:33.450,20.1225
Long Yeast Grow,pioreactor02,2025-09-19T19:29:53.453Z,UpdatedHeaterDC,delta_dc=-0.6440000000000026,"{""current_dc"": 51.14, ""delta_dc"": -0.6440000000000026, ""target_temperature"": 30.0, ""latest_temperature"": 30.0}",2025-09-19 21:29:53.453,20.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T19:33:13.454Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 51.14, ""delta_dc"": 0.0, ""target_temperature"": 30.0, ""latest_temperature"": 30.0}",2025-09-19 21:33:13.454,20.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T19:36:33.450Z,UpdatedHeaterDC,delta_dc=-0.4319999999999907,"{""current_dc"": 50.71, ""delta_dc"": -0.4319999999999907, ""target_temperature"": 30.0, ""latest_temperature"": 30.06}",2025-09-19 21:36:33.450,20.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T19:39:53.451Z,UpdatedHeaterDC,delta_dc=-0.9480000000000182,"{""current_dc"": 49.76, ""delta_dc"": -0.9480000000000182, ""target_temperature"": 30.0, ""latest_temperature"": 30.17}",2025-09-19 21:39:53.451,20.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T19:43:13.450Z,UpdatedHeaterDC,delta_dc=0.494000000000014,"{""current_dc"": 50.25, ""delta_dc"": 0.494000000000014, ""target_temperature"": 30.0, ""latest_temperature"": 30.04}",2025-09-19 21:43:13.450,20.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T19:46:33.450Z,UpdatedHeaterDC,delta_dc=0.975999999999992,"{""current_dc"": 51.23, ""delta_dc"": 0.975999999999992, ""target_temperature"": 30.0, ""latest_temperature"": 29.89}",2025-09-19 21:46:33.450,20.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T19:49:53.455Z,UpdatedHeaterDC,delta_dc=-1.2979999999999932,"{""current_dc"": 49.93, ""delta_dc"": -1.2979999999999932, ""target_temperature"": 30.0, ""latest_temperature"": 30.11}",2025-09-19 21:49:53.455,20.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T19:53:13.451Z,UpdatedHeaterDC,delta_dc=1.2979999999999932,"{""current_dc"": 51.23, ""delta_dc"": 1.2979999999999932, ""target_temperature"": 30.0, ""latest_temperature"": 29.89}",2025-09-19 21:53:13.451,20.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T19:56:33.450Z,UpdatedHeaterDC,delta_dc=-0.14599999999999222,"{""current_dc"": 51.08, ""delta_dc"": -0.14599999999999222, ""target_temperature"": 30.0, ""latest_temperature"": 29.95}",2025-09-19 21:56:33.450,20.6225
Long Yeast Grow,pioreactor02,2025-09-19T19:59:53.450Z,UpdatedHeaterDC,delta_dc=0.5619999999999926,"{""current_dc"": 51.64, ""delta_dc"": 0.5619999999999926, ""target_temperature"": 30.0, ""latest_temperature"": 29.89}",2025-09-19 21:59:53.450,20.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T20:03:13.449Z,UpdatedHeaterDC,delta_dc=-0.36200000000000043,"{""current_dc"": 51.28, ""delta_dc"": -0.36200000000000043, ""target_temperature"": 30.0, ""latest_temperature"": 29.98}",2025-09-19 22:03:13.449,20.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T20:06:33.451Z,UpdatedHeaterDC,delta_dc=-0.09199999999999803,"{""current_dc"": 51.19, ""delta_dc"": -0.09199999999999803, ""target_temperature"": 30.0, ""latest_temperature"": 30.0}",2025-09-19 22:06:33.451,20.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T20:09:53.451Z,UpdatedHeaterDC,delta_dc=0.2879999999999938,"{""current_dc"": 51.48, ""delta_dc"": 0.2879999999999938, ""target_temperature"": 30.0, ""latest_temperature"": 29.96}",2025-09-19 22:09:53.451,20.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T20:13:13.454Z,UpdatedHeaterDC,delta_dc=0.32000000000000595,"{""current_dc"": 51.8, ""delta_dc"": 0.32000000000000595, ""target_temperature"": 30.0, ""latest_temperature"": 29.93}",2025-09-19 22:13:13.454,20.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T20:16:33.450Z,UpdatedHeaterDC,delta_dc=-1.1860000000000084,"{""current_dc"": 50.61, ""delta_dc"": -1.1860000000000084, ""target_temperature"": 30.0, ""latest_temperature"": 30.12}",2025-09-19 22:16:33.450,20.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T20:19:53.451Z,UpdatedHeaterDC,delta_dc=-0.0959999999999944,"{""current_dc"": 50.51, ""delta_dc"": -0.0959999999999944, ""target_temperature"": 30.0, ""latest_temperature"": 30.09}",2025-09-19 22:19:53.451,21.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T20:23:13.450Z,UpdatedHeaterDC,delta_dc=2.070000000000002,"{""current_dc"": 52.58, ""delta_dc"": 2.070000000000002, ""target_temperature"": 30.0, ""latest_temperature"": 29.77}",2025-09-19 22:23:13.450,21.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T20:26:33.450Z,UpdatedHeaterDC,delta_dc=-1.562000000000004,"{""current_dc"": 51.02, ""delta_dc"": -1.562000000000004, ""target_temperature"": 30.0, ""latest_temperature"": 30.07}",2025-09-19 22:26:33.450,21.1225
Long Yeast Grow,pioreactor02,2025-09-19T20:29:53.452Z,UpdatedHeaterDC,delta_dc=-0.038000000000003836,"{""current_dc"": 50.98, ""delta_dc"": -0.038000000000003836, ""target_temperature"": 30.0, ""latest_temperature"": 30.05}",2025-09-19 22:29:53.452,21.178055555556
