experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T07:36:33.407Z,29.92,2025-09-19 09:36:33.407,8.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T07:39:53.409Z,29.76,2025-09-19 09:39:53.409,8.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T07:43:13.407Z,30.01,2025-09-19 09:43:13.407,8.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T07:46:33.408Z,29.95,2025-09-19 09:46:33.408,8.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T07:49:53.407Z,29.98,2025-09-19 09:49:53.407,8.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T07:53:13.409Z,30.0,2025-09-19 09:53:13.409,8.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T07:56:33.407Z,30.07,2025-09-19 09:56:33.407,8.6225
Long Yeast Grow,pioreactor02,2025-09-19T07:59:53.407Z,29.98,2025-09-19 09:59:53.407,8.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T08:03:13.408Z,29.87,2025-09-19 10:03:13.408,8.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T08:06:33.407Z,30.03,2025-09-19 10:06:33.407,8.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T08:09:53.407Z,30.11,2025-09-19 10:09:53.407,8.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T08:13:13.406Z,30.05,2025-09-19 10:13:13.406,8.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T08:16:33.407Z,30.02,2025-09-19 10:16:33.407,8.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T08:19:53.407Z,29.97,2025-09-19 10:19:53.407,9.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T08:23:13.408Z,30.04,2025-09-19 10:23:13.408,9.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T08:26:33.407Z,29.95,2025-09-19 10:26:33.407,9.1225
Long Yeast Grow,pioreactor02,2025-09-19T08:29:53.408Z,30.02,2025-09-19 10:29:53.408,9.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T08:33:13.408Z,30.0,2025-09-19 10:33:13.408,9.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T08:36:33.408Z,29.91,2025-09-19 10:36:33.408,9.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T08:39:53.408Z,30.04,2025-09-19 10:39:53.408,9.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T08:43:13.406Z,29.86,2025-09-19 10:43:13.406,9.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T08:46:33.406Z,29.97,2025-09-19 10:46:33.406,9.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T08:49:53.409Z,30.11,2025-09-19 10:49:53.409,9.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T08:53:13.409Z,29.84,2025-09-19 10:53:13.409,9.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T08:56:33.408Z,29.87,2025-09-19 10:56:33.408,9.6225
Long Yeast Grow,pioreactor02,2025-09-19T08:59:53.408Z,29.93,2025-09-19 10:59:53.408,9.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T09:03:13.406Z,30.05,2025-09-19 11:03:13.406,9.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T09:06:33.408Z,30.03,2025-09-19 11:06:33.408,9.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T09:09:53.406Z,30.1,2025-09-19 11:09:53.406,9.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T09:13:13.406Z,30.13,2025-09-19 11:13:13.406,9.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T09:16:33.406Z,30.09,2025-09-19 11:16:33.406,9.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T09:19:53.408Z,29.86,2025-09-19 11:19:53.408,10.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T09:23:13.407Z,30.06,2025-09-19 11:23:13.407,10.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T09:26:33.408Z,29.89,2025-09-19 11:26:33.408,10.1225
