experiment,pioreactor_unit,timestamp,measured_rpm,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:55:13.862Z,486.3,2025-09-20 07:55:13.862,0.881111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:55:36.862Z,506.0,2025-09-20 07:55:36.862,0.8875
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:55:59.862Z,510.6,2025-09-20 07:55:59.862,0.893888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:56:22.862Z,511.3,2025-09-20 07:56:22.862,0.900277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:56:45.862Z,512.5,2025-09-20 07:56:45.862,0.906666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:57:08.862Z,509.5,2025-09-20 07:57:08.862,0.913055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:57:31.862Z,503.7,2025-09-20 07:57:31.862,0.919444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:57:54.862Z,496.8,2025-09-20 07:57:54.862,0.925833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:58:17.862Z,495.0,2025-09-20 07:58:17.862,0.932222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:58:40.862Z,489.3,2025-09-20 07:58:40.862,0.938611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:59:03.862Z,496.2,2025-09-20 07:59:03.862,0.945
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:59:26.862Z,500.1,2025-09-20 07:59:26.862,0.951388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:59:49.862Z,512.3,2025-09-20 07:59:49.862,0.957777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:00:12.862Z,510.1,2025-09-20 08:00:12.862,0.964166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:00:35.862Z,506.8,2025-09-20 08:00:35.862,0.970555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:00:58.862Z,500.6,2025-09-20 08:00:58.862,0.976944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:01:21.862Z,488.8,2025-09-20 08:01:21.862,0.983333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:01:44.862Z,491.0,2025-09-20 08:01:44.862,0.989722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:02:07.862Z,496.3,2025-09-20 08:02:07.862,0.996111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:02:30.862Z,499.4,2025-09-20 08:02:30.862,1.0025
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:02:53.862Z,506.4,2025-09-20 08:02:53.862,1.008888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:03:16.862Z,492.6,2025-09-20 08:03:16.862,1.015277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:03:39.862Z,425.7,2025-09-20 08:03:39.862,1.021666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:04:02.862Z,508.9,2025-09-20 08:04:02.862,1.028055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:04:25.862Z,477.2,2025-09-20 08:04:25.862,1.034444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:04:48.862Z,521.2,2025-09-20 08:04:48.862,1.040833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:05:11.862Z,509.1,2025-09-20 08:05:11.862,1.047222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:05:34.862Z,501.6,2025-09-20 08:05:34.862,1.053611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:05:57.862Z,521.4,2025-09-20 08:05:57.862,1.06
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:06:20.862Z,503.3,2025-09-20 08:06:20.862,1.066388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:06:43.862Z,518.0,2025-09-20 08:06:43.862,1.072777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:07:06.862Z,508.5,2025-09-20 08:07:06.862,1.079166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:07:29.862Z,515.2,2025-09-20 08:07:29.862,1.085555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:07:52.862Z,472.9,2025-09-20 08:07:52.862,1.091944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T06:08:15.862Z,496.3,2025-09-20 08:08:15.862,1.098333333333
