experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:04:16.658Z,UpdatedHeaterDC,delta_dc=0.5299999999999805,"{""current_dc"": 81.67, ""delta_dc"": 0.5299999999999805, ""target_temperature"": 32.0, ""latest_temperature"": 31.92}",2025-09-20 12:04:16.658,5.031944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:07:36.654Z,UpdatedHeaterDC,delta_dc=-0.5840000000000003,"{""current_dc"": 81.09, ""delta_dc"": -0.5840000000000003, ""target_temperature"": 32.0, ""latest_temperature"": 32.03}",2025-09-20 12:07:36.654,5.0875
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:10:56.654Z,UpdatedHeaterDC,delta_dc=1.073999999999998,"{""current_dc"": 82.16, ""delta_dc"": 1.073999999999998, ""target_temperature"": 32.0, ""latest_temperature"": 31.87}",2025-09-20 12:10:56.654,5.143055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:14:16.654Z,UpdatedHeaterDC,delta_dc=0.2660000000000118,"{""current_dc"": 82.43, ""delta_dc"": 0.2660000000000118, ""target_temperature"": 32.0, ""latest_temperature"": 31.88}",2025-09-20 12:14:16.654,5.198611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:17:36.655Z,UpdatedHeaterDC,delta_dc=0.23999999999999133,"{""current_dc"": 82.67, ""delta_dc"": 0.23999999999999133, ""target_temperature"": 32.0, ""latest_temperature"": 31.89}",2025-09-20 12:17:36.655,5.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:20:56.655Z,UpdatedHeaterDC,delta_dc=1.5819999999999963,"{""current_dc"": 84.25, ""delta_dc"": 1.5819999999999963, ""target_temperature"": 32.0, ""latest_temperature"": 31.71}",2025-09-20 12:20:56.655,5.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:24:16.654Z,UpdatedHeaterDC,delta_dc=-0.03799999999999809,"{""current_dc"": 84.21, ""delta_dc"": -0.03799999999999809, ""target_temperature"": 32.0, ""latest_temperature"": 31.82}",2025-09-20 12:24:16.654,5.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:27:36.655Z,UpdatedHeaterDC,delta_dc=-0.5400000000000048,"{""current_dc"": 83.67, ""delta_dc"": -0.5400000000000048, ""target_temperature"": 32.0, ""latest_temperature"": 31.96}",2025-09-20 12:27:36.655,5.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:30:56.658Z,UpdatedHeaterDC,delta_dc=0.32000000000000595,"{""current_dc"": 83.99, ""delta_dc"": 0.32000000000000595, ""target_temperature"": 32.0, ""latest_temperature"": 31.93}",2025-09-20 12:30:56.658,5.476388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:34:16.655Z,UpdatedHeaterDC,delta_dc=1.0460000000000078,"{""current_dc"": 85.04, ""delta_dc"": 1.0460000000000078, ""target_temperature"": 32.0, ""latest_temperature"": 31.81}",2025-09-20 12:34:16.655,5.531944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:37:36.654Z,UpdatedHeaterDC,delta_dc=1.357999999999985,"{""current_dc"": 86.4, ""delta_dc"": 1.357999999999985, ""target_temperature"": 32.0, ""latest_temperature"": 31.69}",2025-09-20 12:37:36.654,5.5875
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:40:56.655Z,UpdatedHeaterDC,delta_dc=-0.4900000000000012,"{""current_dc"": 85.91, ""delta_dc"": -0.4900000000000012, ""target_temperature"": 32.0, ""latest_temperature"": 31.87}",2025-09-20 12:40:56.655,5.643055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:44:16.655Z,UpdatedHeaterDC,delta_dc=-0.7420000000000179,"{""current_dc"": 85.17, ""delta_dc"": -0.7420000000000179, ""target_temperature"": 32.0, ""latest_temperature"": 32.02}",2025-09-20 12:44:16.655,5.698611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:47:36.655Z,UpdatedHeaterDC,delta_dc=-0.34000000000000197,"{""current_dc"": 84.83, ""delta_dc"": -0.34000000000000197, ""target_temperature"": 32.0, ""latest_temperature"": 32.06}",2025-09-20 12:47:36.655,5.754166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:50:56.655Z,UpdatedHeaterDC,delta_dc=-1.0199999999999874,"{""current_dc"": 83.81, ""delta_dc"": -1.0199999999999874, ""target_temperature"": 32.0, ""latest_temperature"": 32.18}",2025-09-20 12:50:56.655,5.809722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:54:16.654Z,UpdatedHeaterDC,delta_dc=-1.4760000000000033,"{""current_dc"": 82.33, ""delta_dc"": -1.4760000000000033, ""target_temperature"": 32.0, ""latest_temperature"": 32.32}",2025-09-20 12:54:16.654,5.865277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:57:36.655Z,UpdatedHeaterDC,delta_dc=-1.1199999999999946,"{""current_dc"": 81.21, ""delta_dc"": -1.1199999999999946, ""target_temperature"": 32.0, ""latest_temperature"": 32.36}",2025-09-20 12:57:36.655,5.920833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:00:56.654Z,UpdatedHeaterDC,delta_dc=0.7920000000000156,"{""current_dc"": 82.0, ""delta_dc"": 0.7920000000000156, ""target_temperature"": 32.0, ""latest_temperature"": 32.12}",2025-09-20 13:00:56.654,5.976388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:04:16.655Z,UpdatedHeaterDC,delta_dc=0.047999999999986165,"{""current_dc"": 82.05, ""delta_dc"": 0.047999999999986165, ""target_temperature"": 32.0, ""latest_temperature"": 32.07}",2025-09-20 13:04:16.655,6.031944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:07:36.658Z,UpdatedHeaterDC,delta_dc=-0.18200000000000074,"{""current_dc"": 81.87, ""delta_dc"": -0.18200000000000074, ""target_temperature"": 32.0, ""latest_temperature"": 32.07}",2025-09-20 13:07:36.658,6.0875
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:10:56.654Z,UpdatedHeaterDC,delta_dc=0.897999999999989,"{""current_dc"": 82.77, ""delta_dc"": 0.897999999999989, ""target_temperature"": 32.0, ""latest_temperature"": 31.92}",2025-09-20 13:10:56.654,6.143055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:14:16.655Z,UpdatedHeaterDC,delta_dc=-1.3040000000000105,"{""current_dc"": 81.47, ""delta_dc"": -1.3040000000000105, ""target_temperature"": 32.0, ""latest_temperature"": 32.13}",2025-09-20 13:14:16.655,6.198611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:17:36.658Z,UpdatedHeaterDC,delta_dc=0.9580000000000168,"{""current_dc"": 82.43, ""delta_dc"": 0.9580000000000168, ""target_temperature"": 32.0, ""latest_temperature"": 31.95}",2025-09-20 13:17:36.658,6.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:20:56.655Z,UpdatedHeaterDC,delta_dc=-1.5260000000000011,"{""current_dc"": 80.9, ""delta_dc"": -1.5260000000000011, ""target_temperature"": 32.0, ""latest_temperature"": 32.18}",2025-09-20 13:20:56.655,6.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:24:16.654Z,UpdatedHeaterDC,delta_dc=-1.9080000000000197,"{""current_dc"": 78.99, ""delta_dc"": -1.9080000000000197, ""target_temperature"": 32.0, ""latest_temperature"": 32.38}",2025-09-20 13:24:16.654,6.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:27:36.655Z,UpdatedHeaterDC,delta_dc=-1.0599999999999925,"{""current_dc"": 77.93, ""delta_dc"": -1.0599999999999925, ""target_temperature"": 32.0, ""latest_temperature"": 32.39}",2025-09-20 13:27:36.655,6.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:30:56.655Z,UpdatedHeaterDC,delta_dc=0.1380000000000251,"{""current_dc"": 78.07, ""delta_dc"": 0.1380000000000251, ""target_temperature"": 32.0, ""latest_temperature"": 32.23}",2025-09-20 13:30:56.655,6.476388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:34:16.655Z,UpdatedHeaterDC,delta_dc=0.33799999999997526,"{""current_dc"": 78.41, ""delta_dc"": 0.33799999999997526, ""target_temperature"": 32.0, ""latest_temperature"": 32.1}",2025-09-20 13:34:16.655,6.531944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:37:36.655Z,UpdatedHeaterDC,delta_dc=-0.26000000000000373,"{""current_dc"": 78.15, ""delta_dc"": -0.26000000000000373, ""target_temperature"": 32.0, ""latest_temperature"": 32.1}",2025-09-20 13:37:36.655,6.5875
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:40:56.654Z,UpdatedHeaterDC,delta_dc=1.6840000000000186,"{""current_dc"": 79.83, ""delta_dc"": 1.6840000000000186, ""target_temperature"": 32.0, ""latest_temperature"": 31.83}",2025-09-20 13:40:56.654,6.643055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:44:16.655Z,UpdatedHeaterDC,delta_dc=-0.6380000000000108,"{""current_dc"": 79.19, ""delta_dc"": -0.6380000000000108, ""target_temperature"": 32.0, ""latest_temperature"": 31.98}",2025-09-20 13:44:16.655,6.698611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:47:36.655Z,UpdatedHeaterDC,delta_dc=0.41200000000000403,"{""current_dc"": 79.6, ""delta_dc"": 0.41200000000000403, ""target_temperature"": 32.0, ""latest_temperature"": 31.93}",2025-09-20 13:47:36.655,6.754166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:50:56.655Z,UpdatedHeaterDC,delta_dc=3.205999999999987,"{""current_dc"": 82.81, ""delta_dc"": 3.205999999999987, ""target_temperature"": 32.0, ""latest_temperature"": 31.51}",2025-09-20 13:50:56.655,6.809722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:54:16.655Z,UpdatedHeaterDC,delta_dc=0.3380000000000031,"{""current_dc"": 83.15, ""delta_dc"": 0.3380000000000031, ""target_temperature"": 32.0, ""latest_temperature"": 31.64}",2025-09-20 13:54:16.655,6.865277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T11:57:36.658Z,UpdatedHeaterDC,delta_dc=1.7279999999999944,"{""current_dc"": 84.88, ""delta_dc"": 1.7279999999999944, ""target_temperature"": 32.0, ""latest_temperature"": 31.53}",2025-09-20 13:57:36.658,6.920833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T12:00:56.655Z,UpdatedHeaterDC,delta_dc=-0.0019999999999895657,"{""current_dc"": 84.88, ""delta_dc"": -0.0019999999999895657, ""target_temperature"": 32.0, ""latest_temperature"": 31.7}",2025-09-20 14:00:56.655,6.976388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T12:04:16.740Z,UpdatedHeaterDC,delta_dc=-0.3000000000000134,"{""current_dc"": 84.58, ""delta_dc"": -0.3000000000000134, ""target_temperature"": 32.0, ""latest_temperature"": 31.85}",2025-09-20 14:04:16.740,7.031944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T12:07:36.654Z,UpdatedHeaterDC,delta_dc=-0.18599999999999137,"{""current_dc"": 84.39, ""delta_dc"": -0.18599999999999137, ""target_temperature"": 32.0, ""latest_temperature"": 31.93}",2025-09-20 14:07:36.654,7.0875
