experiment,pioreactor_unit,timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T02:12:27.915Z,20.89014,0.0,0.0,0.0,0.0,2025-09-19 04:12:27.915,2.8875
Long Yeast Grow,pioreactor02,2025-09-19T02:12:50.919Z,20.91714,0.0,0.0,0.0,0.0,2025-09-19 04:12:50.919,2.893888888889
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.406Z,20.91714,0.0,0.0,0.0,70.39,2025-09-19 04:13:13.406,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.449Z,20.91714,0.0,0.0,0.0,64.38,2025-09-19 04:13:13.449,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.915Z,20.92414,0.0,0.0,0.0,64.38,2025-09-19 04:13:13.915,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:13:36.915Z,20.92714,0.0,0.0,0.0,64.38,2025-09-19 04:13:36.915,2.906666666667
Long Yeast Grow,pioreactor02,2025-09-19T02:13:59.915Z,20.99014,0.0,0.0,0.0,64.38,2025-09-19 04:13:59.915,2.913055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:14:22.915Z,20.97464,0.0,0.0,0.0,64.38,2025-09-19 04:14:22.915,2.919444444444
Long Yeast Grow,pioreactor02,2025-09-19T02:14:41.973Z,20.97464,0.0,0.0,0.0,0.0,2025-09-19 04:14:41.973,2.924722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:14:45.915Z,20.94214,0.0,0.0,0.0,0.0,2025-09-19 04:14:45.915,2.925833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:15:08.915Z,21.00064,0.0,0.0,0.0,0.0,2025-09-19 04:15:08.915,2.932222222222
Long Yeast Grow,pioreactor02,2025-09-19T02:15:31.915Z,21.03764,0.0,0.0,0.0,0.0,2025-09-19 04:15:31.915,2.938611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:15:54.915Z,21.17164,0.0,0.0,0.0,0.0,2025-09-19 04:15:54.915,2.945
Long Yeast Grow,pioreactor02,2025-09-19T02:16:17.915Z,21.67714,0.0,0.0,0.0,0.0,2025-09-19 04:16:17.915,2.951388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:16:33.405Z,21.67714,0.0,0.0,0.0,64.38,2025-09-19 04:16:33.405,2.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:16:33.447Z,21.67714,0.0,0.0,0.0,59.69,2025-09-19 04:16:33.447,2.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:16:40.915Z,22.17264,0.0,0.0,0.0,59.69,2025-09-19 04:16:40.915,2.957777777778
Long Yeast Grow,pioreactor02,2025-09-19T02:17:03.915Z,22.62414,0.0,0.0,0.0,59.69,2025-09-19 04:17:03.915,2.964166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:17:26.919Z,23.01814,0.0,0.0,0.0,59.69,2025-09-19 04:17:26.919,2.970555555556
Long Yeast Grow,pioreactor02,2025-09-19T02:17:49.915Z,22.60814,0.0,0.0,0.0,59.69,2025-09-19 04:17:49.915,2.976944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:18:01.972Z,22.60814,0.0,0.0,0.0,0.0,2025-09-19 04:18:01.972,2.980277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:18:12.915Z,22.24464,0.0,0.0,0.0,0.0,2025-09-19 04:18:12.915,2.983333333333
Long Yeast Grow,pioreactor02,2025-09-19T02:18:35.915Z,21.96114,0.0,0.0,0.0,0.0,2025-09-19 04:18:35.915,2.989722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:18:58.915Z,21.72914,0.0,0.0,0.0,0.0,2025-09-19 04:18:58.915,2.996111111111
